skill name,intent name,sample type,slot name,slot type
skills/radroof22/hackmit-2021/alexa/amzn1.ask.skill.436cb596-0d9d-490c-a0a7-5e48a8a2ca15,askFirstLastName,1,lastName,LASTNAME
skills/riselabs-ufba/alexa-skills/Arithmetic_tables/Version_3,AnswerNameIntent,2,username,AMAZON.FirstName
skills/scollet1/NaMe_Alexa/NaMe_Alexa_Node,AnswerIntent,-1,Answer,AMAZON.US_FIRST_NAME
skills/scollet1/NaMe_Alexa/NaMe_Alexa_Node,AnswerIntent,-1,Gender,Gender
skills/scorchio36/alexa_skill-chase_that_trend,GetUserNameIntent,1,userName,AMAZON.US_FIRST_NAME
skills/skl1m/ecopal/skill,ChallengesIntent,2,name,AMAZON.US_FIRST_NAME
skills/t04glovern/cat-a-log-code/L04_S04,ChangeNameIntent,2,Name,AMAZON.US_FIRST_NAME
skills/t04glovern/cat-a-log-code/L04_S02,ChangeNameIntent,2,Name,AMAZON.US_FIRST_NAME
skills/t04glovern/cat-a-log-code/L04_S05,ChangeNameIntent,2,Name,AMAZON.US_FIRST_NAME
skills/t04glovern/cat-a-log-code/L04_S03,ChangeNameIntent,2,Name,AMAZON.US_FIRST_NAME
skills/t04glovern/cat-a-log-code/L04_S06,ChangeNameIntent,2,Name,AMAZON.US_FIRST_NAME
skills/t04glovern/cat-a-log-code/L04_S07,ChangeNameIntent,2,Name,AMAZON.US_FIRST_NAME
skills/tienwei/smart-claims/alexa-skill/foodie,RecommendationIntent,1,name,AMAZON.US_FIRST_NAME
skills/wrongholt/Powers/skill-package,NameIntent,1,DEName,AMAZON.DE_FIRST_NAME
skills/wrongholt/Powers/skill-package,NameIntent,1,GBName,AMAZON.GB_FIRST_NAME
skills/wrongholt/Powers/skill-package,NameIntent,1,Name,AMAZON.FirstName
